;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
873,0.038,0.0173885
874,0.039,0.0173885
875,0.04,0.0173885
876,0.041,0.0173885
877,0.042,0.0173885
878,0.043,0.0173885
879,0.044,0.0173885
880,0.045,0.0173885
881,0.046,0.0173885
882,0.047,0.0173885
883,0.048,0.0173885
884,0.049,0.0173885
885,0.05,0.0173885
886,0.051,0.0173885
887,0.052,0.0173885
888,0.053,0.0173885
889,0.054,0.0173885
890,0.055,0.0173885
891,0.056,0.0173885
892,0.057,0.0173885
893,0.058,0.0173885
894,0.059,0.0173885
895,0.06,0.0173885
896,0.061,0.0173885
897,0.062,0.0173885
898,0.063,0.0173885
899,0.064,0.0173885
900,0.065,0.0173885
901,0.066,0.0173885
902,0.067,0.0173885
903,0.068,0.0173885
904,0.069,0.0173885
905,0.07,0.0173885
906,0.071,0.0173885
907,0.072,0.0173885
908,0.073,0.0173885
909,0.074,0.0173885
910,0.075,0.0173885
911,0.076,0.0173885
912,0.077,0.0173885
913,0.078,0.0173885
914,0.079,0.0173885
915,0.08,0.0173885
916,0.081,0.0173885
917,0.082,0.0173885
918,0.083,0.0173885
919,0.084,0.0173885
920,0.085,0.0173885
921,0.086,0.0173885
922,0.087,0.0173885
923,0.088,0.0173885
924,0.089,0.0173885
925,0.09,0.0173885
926,0.091,0.0173885
927,0.092,0.0173885
928,0.093,0.0173885
929,0.094,0.0173885
930,0.095,0.0173885
931,0.096,0.0173885
932,0.097,0.0173885
933,0.098,0.0173885
934,0.099,0.0173885
935,0.1,0.0173885
936,0.101,0.0173885
937,0.102,0.0173885
938,0.103,0.0173885
939,0.104,0.0173885
940,0.105,0.0173885
941,0.106,0.0173885
942,0.107,0.0173885
943,0.108,0.0173885
944,0.109,0.0173885
945,0.11,0.0173885
946,0.111,0.0173885
947,0.112,0.0173885
948,0.113,0.0173885
949,0.114,0.0173885
950,0.115,0.0173885
951,0.116,0.0173885
952,0.117,0.0173885
953,0.118,0.0173885
954,0.119,0.0173885
955,0.12,0.0173885
956,0.121,0.0173885
957,0.122,0.0173885
958,0.123,0.0173885
959,0.124,0.0173885
960,0.125,0.0173885
961,0.126,0.0173885
962,0.127,0.0173885
963,0.128,0.0173885
964,0.129,0.0173885
965,0.13,0.0173885
966,0.131,0.0173885
967,0.132,0.0173885
968,0.133,0.0173885
969,0.134,0.0173885
970,0.135,0.0173885
971,0.136,0.0173885
972,0.137,0.0173885
973,0.138,0.0173885
974,0.139,0.0173885
975,0.14,0.0173885
976,0.141,0.0173885
977,0.142,0.0173885
978,0.143,0.0173885
979,0.144,0.0173885
980,0.145,0.0173885
981,0.146,0.0173885
982,0.147,0.0173885
983,0.148,0.0173885
984,0.149,0.0173885
985,0.15,0.0173885
